code	occupation	gender	conversations	birth-region	age-range	study-level
BOI046	7-Plant-Operators	M	PBB015	campania	41-45	technical-vocational-diploma
BOI047	0-Retired	M	PBC020	emilia-romagna	71-75	liceo-diploma
BOI048	0-Retired	M	PBC020	emilia-romagna	71-75	liceo-diploma
BOI049	0-Unemployed	M	PBB016	emilia-romagna	51-55	technical-vocational-diploma
BOI050	4-Clerical-Workers	F	PBB017	sardegna	46-50	liceo-diploma
BOI051	0-Retired	F	PBC021	emilia-romagna	76-80	middle-school
BOI052	2-Professionals	F	PBB018	emilia-romagna	51-55	university-degree
BOI053	0-Students	F	PBA002	emilia-romagna	21-25	university-degree-ongoing
BOI054	6-Craft-Workers	M	PBA002	emilia-romagna	26-30	technical-vocational-diploma
BOI055	0-Retired	F	PBC022	emilia-romagna	76-80	primary-school
BOI056	2-Professionals	F	PBA003	lazio	26-30	university-degree
BOI057	2-Professionals	F	PBB019	emilia-romagna	51-55	university-degree
BOI058	0-Retired	F	PBC023	emilia-romagna	66-70	middle-school
BOI059	2-Professionals	F	PBB020	emilia-romagna	36-40	university-degree
BOI060	7-Plant-Operators	M	PBA004	emilia-romagna	21-25	technical-vocational-diploma
BOI061	5-Service-Workers	F	PBA004	emilia-romagna	21-25	technical-vocational-diploma
BOI062	0-Students	F	PBA004	calabria	21-25	university-degree-ongoing
BOI063	4-Clerical-Workers	M	PBA005	emilia-romagna	21-25	technical-vocational-diploma
BOI064	0-Unemployed	F	PBA006	emilia-romagna	21-25	liceo-diploma
BOI065	2-Professionals	F	PBA007	emilia-romagna	16-20	liceo-diploma
BOI066	5-Service-Workers	F	PBA007	emilia-romagna	21-25	liceo-diploma
BOI067	0-Unemployed	F	PBA008	emilia-romagna	21-25	technical-vocational-diploma
BOI068	7-Plant-Operators	F	PBA009	emilia-romagna	16-20	technical-vocational-diploma
BOI069	6-Craft-Workers	M	PBA010	emilia-romagna	21-25	middle-school
BOI070	5-Service-Workers	M	PBA011	emilia-romagna	21-25	technical-vocational-diploma
BOI071	5-Service-Workers	M	PBA011	emilia-romagna	16-20	middle-school
BOI072	0-Unemployed	F	PBA012	emilia-romagna	21-25	liceo-diploma
BOI073	0-Students	M	PBA012	lazio	21-25	university-degree-ongoing
BOI074	4-Clerical-Workers	M	PBA013	emilia-romagna	21-25	technical-vocational-diploma
BOI075	0-Students	F	PBA013	calabria	21-25	university-degree-ongoing
BOI076	7-Plant-Operators	M	PBA014	emilia-romagna	21-25	technical-vocational-diploma
BOI077	0-Students	F	PBA015	emilia-romagna	16-20	university-degree-ongoing
BOI078	0-Students	M	PBA016	emilia-romagna	16-20	university-degree-ongoing
BOI079	0-Students	M	PBA016	emilia-romagna	16-20	university-degree-ongoing
